date,ticker,prev_close,open,high,low,close,volume,prev_volume,vwap,n_transactions,gap_pct,gap_direction,day_return_pct,day_range_pct,max_runup_pct,max_drawdown_pct,gap_filled,vol_ratio,close_vs_open,sector,sic_code,market_cap,shares_outstanding,primary_exchange,ticker_type,float_millions,mcap_millions,dollar_volume,dollar_volume_millions,turnover_ratio,first_5m_ret,first_15m_ret,first_30m_ret,first_60m_ret,max_runup_from_open,max_dd_from_open,time_to_hod_bars,time_to_hod_pct,reversion_from_hod_pct,gap_fill_pct,first_30m_vol_pct,first_60m_vol_pct,vol_decay_ratio,first_30m_range_pct,close_in_range_pct,green_bar_pct,opening_ramp_bars,opening_ramp_body_pct,avg_bar_range_pct,intraday_error
2025-03-18,SPVNF,0.018,0.011,0.018,0.011,0.0176,112820,79780,0.0119,9,-38.89,down,60.45,63.64,63.64,0.0,1,1.41,green,,,,,,unknown,,,1342.558,0.0,,30.91,60.91,60.91,60.91,63.64,0.0,3.0,37.5,-1.67,100.0,100.0,100.0,1.0,100.0,95.7,0.0,0.0,0.0,0.0,
2025-03-18,SGTM,0.077,0.0423,0.079,0.0423,0.079,167458,180150,0.074,11,-45.06,down,86.76,86.76,86.76,0.0,1,0.93,green,,,,,OTC Link,CS,,,12391.892,0.01,,65.01,86.76,86.76,86.76,86.76,0.0,6.0,85.7,0.0,100.0,100.0,100.0,1.0,100.0,100.0,28.6,0.0,0.0,1.621,
2025-03-18,IBRLF,0.0274,0.0055,0.02,0.0055,0.02,64262,10734,0.0167,16,-79.93,down,263.64,263.64,263.64,0.0,0,5.99,green,,,,,OTC Link,OS,,,1073.1754,0.0,,203.64,263.64,263.64,263.64,263.64,0.0,0.0,0.0,0.0,66.2,100.0,100.0,1.0,100.0,100.0,33.3,1.0,263.64,53.03,
2025-03-19,TMGI,0.1,0.2,0.2,0.1,0.1,62794,5940,0.1208,44,100.0,up,-50.0,50.0,0.0,-50.0,1,10.57,red,,,,,OTC Link,CS,,,7585.515200000001,0.01,,0.0,-50.0,-50.0,-50.0,0.0,-50.0,0.0,0.0,-50.0,100.0,100.0,100.0,1.0,100.0,0.0,5.6,0.0,0.0,2.778,
2025-03-19,LSE,7.77,11.44,14.9899,11.13,12.5,15044913,575381,13.6205,272576,47.23,up,9.27,33.74,31.03,-2.71,0,26.15,green,,,80347785.0,4315000.0,XNAS,CS,4.32,80.35,204919237.5165,204.92,3.49,3.15,6.91,19.32,17.48,31.03,-2.71,33.0,8.5,-17.54,8.4,26.3,56.6,0.055,74.1,31.9,47.8,2.0,13.78,5.408,
2025-03-19,CINGF,0.0255,0.0364,0.0399,0.03,0.0399,275000,3000,0.0314,5,42.75,up,9.62,27.2,9.62,-17.58,0,91.67,green,,,,,OTC Link,OS,,,8635.0,0.01,,,,,,,,,,,,,,,,,,,,,insufficient_bars
2025-03-19,BDTX,1.68,2.36,2.78,1.71,1.72,114566834,284001,2.3036,386771,40.48,up,-27.12,45.34,17.8,-27.54,0,403.4,red,"BIOLOGICAL PRODUCTS, (NO DIAGNOSTIC SUBSTANCES)",2836,129333052.51,56974913.0,XNAS,CS,56.97,129.33,263916158.8024,263.92,2.01,11.86,10.57,-5.93,-2.12,17.8,-27.54,7.0,1.8,-37.77,95.6,52.9,62.3,0.115,60.7,1.9,41.3,3.0,12.72,4.74,
2025-03-19,FDCT,0.0181,0.025,0.025,0.0181,0.025,62024,2500,0.0209,8,38.12,up,0.0,27.6,0.0,-27.6,1,24.81,doji,,,,,OTC Link,CS,,,1296.3016,0.0,,-27.6,0.0,0.0,0.0,0.0,-27.6,0.0,0.0,0.0,100.0,100.0,100.0,1.0,100.0,100.0,0.0,0.0,0.0,0.0,
2025-03-19,NKGN,0.1801,0.1226,0.23,0.1226,0.1926,126187,208618,0.1832,64,-31.93,down,57.14,87.6,87.6,0.0,1,0.6,green,,,,,OTC Link,CS,,,23117.4584,0.02,,22.43,48.45,57.18,57.18,87.6,0.0,23.0,82.1,-16.22,100.0,100.0,100.0,1.0,100.0,65.3,14.3,1.0,22.35,1.943,
2025-03-19,HAMRF,0.08,0.0544,0.08,0.05,0.078,98279,64803,0.0551,34,-32.0,down,43.38,55.15,47.06,-8.09,1,1.52,green,,,,,OTC Link,OS,,,5415.1729000000005,0.01,,10.29,-8.09,43.38,43.38,47.06,-8.09,1.0,6.2,-2.5,100.0,100.0,100.0,1.0,100.0,93.3,6.2,0.0,0.0,1.149,
